publishedTime,simpleText,votes,author,isReply,isHearted,isPinned,isPaid,paidAmount,isSponsor,sponsorshipMonths
23-02-2024,WE ARE NOT INTRESTED IN SANKRACHARYA ANYMORE WE ARE MORE DEVOTED TO OUR SANATAN HERITAGE AND NATION. IF THESE SO CALLED SANKRACHARYAS ARE SO DESCIPLINED THAN WHY THERE IS A DECLINE IN OUR FAITH AND PEOPLE ARE GOING AWAY FROM OUR SANATAN VALUES. AND WHY FAKE BABAS CAME TO EXISTENCE IF YOU GUYS ARE PERFORMING YOUR DUTY WELL. WE ARE BORN SANTAN AND WE GO WITH GOOD? IT IS REDICULOUS WHEN WE NOTICE SPRITUAL YOGIS FIGHTING FOR METERIAL DESIRES AND MATERIAL SELF RESPECT ? IN TODAYS SCENARIO ITS A MATTER OF REVIEW FOR MAJOR SANATAN POPULATION HOW TO PROTECT OUR SANATAN HERITAGE WITHOUR BOGUS SO CALLED TOP SPRITUAL PRIESTS,0,@user-wl9hi6fm4g,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Isko hi deshdrohi bolne lage, damn",0,@Plankton_menance,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"India will become a cursed land because of what has happened. Initiating a Mandir at an inauspicious time and against all shastras will make that place,  a place of demons and it will bring curse upon India.. Ram ke Naam pe Hindu dharm ko avamaan karthiye...Ab yeh Mandir nahi hoga.. Asur mandap hoga...",0,@vijaykumarkandaswamy1976,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Bollywood ko kyu bulae ram mandir mai..😔😔😔😔,0,@vijaybhatt1495,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Shankaracharya ji bhi shadi me fufa vala role nibha rahe he  Hindustan ki yahi badkishmati he ki jab jab kuch acha karne jata he jaychand jag hi jate he  Tabhi to ye Mughal,angrejo ki gulami  karni padi thi",0,@vipulthanki7281,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Jaha jaha swayambhu bhagvan pragat hote he vaha to mandir bad me hi Banta he  yes hamare jyotirling most of swayambhu he aur vaha kisi ne mandir pehle bana k nai rakha tha shankaracharya ko sayad election ki chinta he 😂😂 hindu Dharm ya astha se jyada,0,@vipulthanki7281,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,https://youtu.be/bJy6dJeND-c?si=QVZYS-BCLQZL8sUq Aaj Tak India TV Zee TV मीडिया वालों हिम्मत करके किसानों के विषय में शंकराचार्यों से साक्षात्कार करो..✍️,0,@shrirajsir4574,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Abe wo bhagwan hai wo har jagh khush se jungle me bhi tu ram se bada ho gaya,0,@ManojSharma-vi6sq,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Shankracharya ladne gae aaj tak jihadiyo se rss jayega vote for bjp ignore farzi shankracharya,0,@sanjayyuj,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,FIRST TO KNOW RAM SHAKTI OR PURUSH  SHINGIRI SANKARA CHARIA,0,@BiswajitRoy-ni9rf,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,DALIT RAM DHARMA SASYRAKI AMI  JANINA SHIKHAW,0,@BiswajitRoy-ni9rf,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,"Ye bhai sab alag level pe khel rhe hai . Ram sabke hai , tum chahe adivasi ho ya pandit ji ho . Jyada khudko mahan samajh ne ki zaroorat nhi hai. ana hai aao na ana hai mat aao , phaltu ka gyan mat do . Jaha ram ke bhakt hai ram swam wahi hai . Tum koi special nhi ho , jo ram sabri ke jhoote fal kha sakte hai . Unko kisi uch jati ke brahman ki zarurat nhi hai apne hi mandir me pratisthit hone ke lie .",0,@simpleasthat5349,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Puchiye modi mujhe nahi chaye app bataye jan se app hai kab bole ram hai,0,@srbblogs4888,FALSE,FALSE,FALSE,FALSE,,FALSE,
23-02-2024,Bro looks like modi🤣🤣🤣🤣,0,@forfucksake246,FALSE,FALSE,FALSE,FALSE,,FALSE,
